eoi,year,observed,prediction,n,n_sampled,stratum,method,protocol
SK0076A,2024,0.49729646017699114,0.45457376540707967,113,113,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0076A,2025,0.39205555555555555,0.5601381793814815,108,108,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0078A,2024,2.155560344827586,2.388709234982759,116,116,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0078A,2025,2.0732371134020617,2.188008166329897,97,97,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0214A,2024,1.0126264462809917,1.2091499941743802,121,121,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0214A,2025,1.1335981308411216,1.1644547619476635,107,107,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0263A,2024,0.7357486725663717,0.9298224622831859,113,113,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0263A,2025,0.7383177570093458,0.8355921774205607,107,107,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0265A,2024,1.7921026785714285,1.8627035278125,112,112,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0265A,2025,1.9814957264957265,1.9395097977948719,117,117,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0269A,2024,0.5201866071428571,0.6356804484910714,112,112,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0269A,2025,0.46375714285714287,0.5498658594228572,140,140,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0002A,2024,0.48551416666666664,0.7596651715691666,120,120,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0002A,2025,0.3338931297709924,0.6297660667175573,131,131,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0004R,2024,0.2383132530120482,0.2255757672933735,166,166,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0004R,2025,0.23638787878787879,0.26445100293939394,165,165,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0006R,2024,0.2191146551724138,0.5651039920775862,116,116,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0006R,2025,0.30306722689075627,0.5778474643613445,119,119,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0008A,2024,1.7399993589743592,2.200126871346154,156,156,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0008A,2025,1.419208,1.759710280304,125,125,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0018A,2024,6.173277118644068,1.0745535931101695,118,118,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0018A,2025,5.750974789915967,1.1403363521512606,119,119,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0020A,2024,1.3145647540983607,1.0478424998606557,122,122,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0020A,2025,1.554148514851485,1.317753918519802,101,101,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0025A,2024,3.4843,3.3095196402066116,121,121,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0025A,2025,2.374333333333333,2.3337332974649123,114,114,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0039A,2024,1.0412450381679388,1.405377161221374,131,131,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0039A,2025,1.1465474860335196,1.5686023547653631,179,179,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0045A,2024,0.5517336538461538,0.6607843089480769,104,104,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0045A,2025,0.4586486486486486,0.4670338470459459,74,74,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0048A,2024,0.19027164179104478,1.6342533500820895,134,134,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0048A,2025,0.19674789915966387,1.5165056331932771,119,119,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0050A,2024,0.9373400000000001,1.0087444927212121,165,165,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0050A,2025,0.855475,0.8516149048866667,120,120,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0061A,2024,0.3596550458715596,0.5669826600183486,109,109,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0061A,2025,0.28588617886178863,0.5529060783577235,123,123,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0066A,2024,1.408934328358209,1.2783768593171643,134,134,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0066A,2025,1.2047874015748032,0.9552284494031497,127,127,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0070A,2024,2.183129166666667,2.6014673504791666,96,96,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0070A,2025,1.8754318181818184,1.9483348457954544,88,88,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0071A,2024,2.0584204918032785,2.028951449139344,122,122,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0071A,2025,1.5632685185185184,1.515143602962963,108,108,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0076A,2024,0.49729646017699114,0.2869256055353982,113,113,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0076A,2025,0.39205555555555555,1.6498734602777778,108,108,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0078A,2024,2.155560344827586,2.0079450126077587,116,116,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0078A,2025,2.0732371134020617,1.955752806072165,97,97,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0214A,2024,1.0126264462809917,1.2961142157785124,121,121,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0214A,2025,1.1335981308411216,1.2865648487700936,107,107,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0263A,2024,0.7357486725663717,0.7877525936641593,113,113,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0263A,2025,0.7383177570093458,0.7344981139242991,107,107,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0265A,2024,1.7921026785714285,1.55724435886,112,112,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0265A,2025,1.9814957264957265,1.6188105853589743,117,117,higher,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0269A,2024,0.5201866071428571,0.5601895342946428,112,112,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0269A,2025,0.46375714285714287,0.4666338753964286,140,140,lower,G_PLUS_P|identity|uniform|permissive|500m,loso
SK0002A,2024,0.48551416666666664,0.47151868714999995,120,120,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0002A,2025,0.3338931297709924,0.42939127585496184,131,131,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0004R,2024,0.2383132530120482,0.23477626234337348,166,166,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0004R,2025,0.23638787878787879,0.2647672923775758,165,165,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0006R,2024,0.2191146551724138,0.2416276429172414,116,116,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0006R,2025,0.30306722689075627,0.2429935544537815,119,119,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0008A,2024,1.7399993589743592,1.8071167594679487,156,156,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0008A,2025,1.419208,1.4219202494799998,125,125,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0018A,2024,6.173277118644068,4.840476466694915,118,118,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0018A,2025,5.750974789915967,4.378900931932773,119,119,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0020A,2024,1.3145647540983607,1.2810561156885245,122,122,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0020A,2025,1.554148514851485,1.3844026326039605,101,101,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0025A,2024,3.4843,3.5468330156198347,121,121,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0025A,2025,2.374333333333333,2.297695944017544,114,114,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
