method,protocol,estimand,support,period,scope,n,n_stations,RMSE,MAE,bias,agreement_R2
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,7.974915050627352,5.261540163395823,-5.224081765758692,-0.69999884854878
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,1.032748910066382,0.5437220164172932,-0.14978341740392648,0.8323694211333379
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.572434147169779,0.30348265923211554,0.1424566557109276,0.40327345775996404
G_PLUS_P|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,all_network,42,21,1.17905709829506,0.48712411656303967,-0.2685537337939425,0.1555255679583678
G_PLUS_P|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial,40,20,0.3022490695124803,0.25022270364934546,-0.020723801741793266,0.8464501244174628
G_PLUS_P|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,industrial_descriptive,2,1,5.231309440418918,5.2251523748369255,-5.2251523748369255,-612.8098575696151
G_PLUS_P|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_higher,20,10,0.32054587972691206,0.2865167692477284,-0.17768671925123294,0.6879185881164518
G_PLUS_P|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_lower,20,10,0.2827708242241769,0.21392863805096254,0.13623911576764644,-0.7110997191008954
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,all_period,all_network,5784,21,1.4195818854180775,0.5075158959890284,-0.1020160914674516,0.7131581016533408
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,all_period,nonindustrial,5511,20,0.901183281644366,0.3804531816840029,-0.041494080977633824,0.823557249689227
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,all_period,industrial_descriptive,273,1,5.128507838517743,3.0725071726739928,-1.3237626109157508,0.2664563370330413
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,all_period,nonindustrial_higher,2369,10,1.0101145917812009,0.5124515076538625,-0.0004034868138455021,0.8372494615806141
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,all_period,nonindustrial_lower,2379,10,0.4025062992840822,0.17768690816205968,0.017590905367490542,0.6978879911061111
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,primary_2024_2025,all_network,4975,21,1.344003057532061,0.4731245784863397,-0.053059026109093466,0.7127747381293759
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,primary_2024_2025,nonindustrial,4748,20,0.7682887017612278,0.34471667568440184,0.008612658720989886,0.8438055454597901
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,227,1,5.21940308286964,3.158942739295154,-1.3430024603524227,0.24992168971702777
