method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.25144375917059425,-0.4817981468179086,-0.11500233170714126,5089,21,25,station_x_block,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.1091712051782393,-0.21230870380645891,-0.0379411272232239,5089,21,25,station_x_block,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,0.04147902205923755,-0.023093753091252348,0.124941703498362,5089,21,25,station_x_block,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.29923267092641836,-0.5320428277274777,-0.10391407729415689,4852,20,25,station_x_block,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.10481459853298841,-0.2180876862868076,-0.0348820735477601,4852,20,25,station_x_block,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,0.02628537735561831,-0.02648544188680274,0.08308790970001881,4852,20,25,station_x_block,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.4352124994789677,-0.7323116850598274,-0.15986903458357662,2394,10,25,station_x_block,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.1868988926861737,-0.3531335908327213,-0.06149433829537092,2394,10,25,station_x_block,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.056783436424686716,-0.03477545709142913,0.15545428117546672,2394,10,25,station_x_block,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.04695194241333295,-0.10673917483345546,0.010379681358651844,2458,10,25,station_x_block,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.024867568344735524,-0.05624861945750547,-0.0011393985540458786,2458,10,25,station_x_block,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.00341859067178194,-0.04342772971617353,0.028099598661660872,2458,10,25,station_x_block,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.08406121831783275,-0.14081559808667946,-0.018461105826041296,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.04337323357822795,-0.07771154175381333,-0.016832258767193117,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
