method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256,n_station_years,n_reconstructions
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.5245490685503125,-0.7874513025496155,-0.2746236212645369,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.2941388539408408,-0.5259528170108513,-0.11632483654300468,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.16992061874341302,-0.4459326109879536,0.043366639822917344,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.4236832224777354,-0.5660701338526335,-0.2803961538885563,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.21775025566649964,-0.29937175639886277,-0.14054985458236183,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.033006916853634105,-0.17527519162559752,0.21044568581379855,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.679230127837665,-1.130008798037216,-0.13578639330717432,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.3685384895261839,-0.8111779606435618,-0.051325171467639895,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af,,
G_PLUS_P,G,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.36756444308,-0.837205883701389,-0.01284844820186182,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af,,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.10683415542148134,-0.7218099798946733,0.12383303334351128,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52,42.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.21944779485558008,-0.4734003831633522,-0.02412960047214338,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52,42.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.20913444013014879,-0.48344227209435753,0.017696800503103963,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52,42.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.480868833470079,-0.784947251104741,-0.14317736597494457,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df,40.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.25506905521020956,-0.48782170787361095,-0.06506156577952127,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df,40.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.19494229152480563,-0.47403477318121606,0.03386033239546557,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df,40.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.20892982876299382,-0.31451905625756515,-0.08348082369478252,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.16330975817555915,-0.2892887630615653,-0.047436818342762414,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.011726430029242924,-0.22812994098136385,0.21492255070515984,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.6899587240381931,-1.1041467345606983,-0.13110709678025004,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc,20.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.34682835224485975,-0.769837091653952,-0.014698866129244436,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc,20.0,
G_PLUS_P,G,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.40161101307885405,-0.84524785575915,-0.03548160761843186,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc,20.0,
G_PLUS_P,HARMONIC,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.464172200368127,-0.6663676752045467,-0.3617464776347591,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,HARMONIC,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.3052400703061859,-0.43225657582483884,-0.19052447501584865,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,HARMONIC,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.08694193535810209,-0.20629528702948136,-0.010696814447230448,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,HARMONIC,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.5482856164570643,-0.6944739462961724,-0.3899734400426402,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
