method,protocol,estimand,support,period,scope,n,n_stations,RMSE,MAE,bias,agreement_R2,n_station_years,n_reconstructions
HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,industrial_descriptive,18,1,0.2363027834334791,0.18952092282622404,-0.03109994262852182,-0.25242207341108824,2.0,18.0
INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,primary_2024_2025,all_network,5066,21,1.9060191290306914,0.7516089307241706,0.004676832449807254,0.43352552859870297,,
INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,primary_2024_2025,nonindustrial,4830,20,1.2675600960981774,0.5473192683751783,0.003742838058542069,0.5745737601623045,,
INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,primary_2024_2025,industrial_descriptive,236,1,6.71575243626757,4.9326219355785454,0.023792056643921117,-0.20132207701422655,,
INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,all_network,378,21,0.07190709266192796,0.03513856094095155,0.0005371329074071425,0.9968590553002022,42.0,378.0
INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,nonindustrial,360,20,0.03862531266465205,0.025219908259337176,0.00043211027757829404,0.9974923695214086,40.0,360.0
INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,industrial_descriptive,18,1,0.28061527739606473,0.233511614573239,0.0026375855039841114,-0.7661828427302602,2.0,18.0
INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,primary_2024_2025,all_network,5066,21,1.87497029443154,0.7279256059428338,-0.11020484678688376,0.4518308179963243,,
INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,primary_2024_2025,nonindustrial,4830,20,1.2486811829642919,0.5335047492331808,-0.06937320025732911,0.5871519002280415,,
INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,primary_2024_2025,industrial_descriptive,236,1,6.599509880981647,4.706962630975137,-0.945869477031583,-0.16009476913097176,,
INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,all_network,378,21,0.07508096353011394,0.034659993164354155,-0.01240181404054115,0.9965756629450448,42.0,378.0
INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,nonindustrial,360,20,0.03949953891933303,0.02507672245896147,-0.00778750226905358,0.9973775719833904,40.0,360.0
INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,industrial_descriptive,18,1,0.2952556541033858,0.22632540727220793,-0.10468804947029255,-0.955282371816623,2.0,18.0
M_AUX_INVERSE,dispersed_mod9,daily,common_bracketable,primary_2024_2025,all_network,5066,21,1.45835423253718,0.4590320889853533,-0.1894795900321358,0.6683714700596468,,
M_AUX_INVERSE,dispersed_mod9,daily,common_bracketable,primary_2024_2025,nonindustrial,4830,20,0.7049183591976195,0.3116437873871222,-0.0770962086299793,0.8684275992922383,,
M_AUX_INVERSE,dispersed_mod9,daily,common_bracketable,primary_2024_2025,industrial_descriptive,236,1,5.956864421034292,3.4754960581355934,-2.4895293026271186,0.05483956627638731,,
M_AUX_INVERSE,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,all_network,378,21,0.08174830416045487,0.02979774730912639,-0.021809389481884055,0.9959404832759369,42.0,378.0
M_AUX_INVERSE,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,nonindustrial,360,20,0.02641393814226342,0.01687898779674598,-0.009125657828192963,0.9988273029390763,40.0,360.0
M_AUX_INVERSE,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,industrial_descriptive,18,1,0.3555060721445538,0.28817293755673457,-0.275484022555706,-1.8346998762820501,2.0,18.0
M_AUX_UNIFORM,dispersed_mod9,daily,common_bracketable,primary_2024_2025,all_network,5066,21,1.3477738993686423,0.4485391520589084,-0.08771888775401304,0.7167565234584697,,
M_AUX_UNIFORM,dispersed_mod9,daily,common_bracketable,primary_2024_2025,nonindustrial,4830,20,0.6907697229912482,0.3133032461553686,-0.02257157983060663,0.8736562557233126,,
M_AUX_UNIFORM,dispersed_mod9,daily,common_bracketable,primary_2024_2025,industrial_descriptive,236,1,5.406236465352339,3.216290955084746,-1.4210303168644065,0.22149720383058147,,
M_AUX_UNIFORM,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,all_network,378,21,0.0641429478080279,0.024362429376459587,-0.01020769849057298,0.9975007214588155,42.0,378.0
M_AUX_UNIFORM,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,nonindustrial,360,20,0.0230160767316376,0.015250638025408856,-0.0028587256446550306,0.9991096062204097,40.0,360.0
M_AUX_UNIFORM,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,industrial_descriptive,18,1,0.2753286709756879,0.20659825639747423,-0.15718715540893197,-0.700262261950509,2.0,18.0
PM_RIDGE,dispersed_mod9,daily,common_bracketable,primary_2024_2025,all_network,5066,21,1.7105698458677694,0.6605440881979353,-0.1746306748606901,0.5437451890770746,,
PM_RIDGE,dispersed_mod9,daily,common_bracketable,primary_2024_2025,nonindustrial,4830,20,1.012112631101179,0.48782852671520194,-0.12150364481224064,0.7287655524067905,,
PM_RIDGE,dispersed_mod9,daily,common_bracketable,primary_2024_2025,industrial_descriptive,236,1,6.46884599940053,4.195358333797944,-1.2619338745810749,-0.11461203017067811,,
PM_RIDGE,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,all_network,378,21,0.07603970301507643,0.03826952258655219,-0.020104135404494856,0.9964876510636326,42.0,378.0
PM_RIDGE,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,nonindustrial,360,20,0.04295531635596193,0.02884910416300014,-0.014123290672039813,0.996898631528584,40.0,360.0
PM_RIDGE,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,industrial_descriptive,18,1,0.2907225155749483,0.22667789105759312,-0.1397210300535957,-0.8957033365616185,2.0,18.0
